hotel_name,hotel_url,title,score,positive,negative,date,room_type,traveler_type,nationality,nights_stayed
descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico,https://www.booking.com/hotel/mx/descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico.es.html,"Noches mágicas, increíble lugar",10,"Realmente increíbles las instalaciones, las amenidades, el servicio por parte de los anfitriones, realmente inmejorable, preocupados en todo momento por nuestro confort, mágico el lugar y todo el entorno que crearon",,Noviembre 2024,Apartamento,Solo/a,México,1 noche
descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico,https://www.booking.com/hotel/mx/descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico.es.html,Excepcional,10,"El lugar es hermoso y con decoración de muy buen gusto.Tuvimos una estancia, agradable y muy cómoda.La ubicación es privilegiada.Marcia nuestra anfitriona, estuvo al pendiente de nosotros en todo momento.Gracias!Definitivamente, volveremos!",,Julio 2025,Apartamento,Solo/a,México,1 noche
descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico,https://www.booking.com/hotel/mx/descubre-el-encanto-de-carlo-i-en-val-quirico-val-quirico.es.html,Excepcional,10,Esta entrada no tiene comentarios,,Septiembre 2025,Apartamento,Pareja,México,3 noches
apolo-en-valquirico,https://www.booking.com/hotel/mx/apolo-en-valquirico.es.html,Muy bien,8.0,El lugar está exelente,,Noviembre 2025,Apartamento,Grupo,México,1 noche
apolo-en-valquirico,https://www.booking.com/hotel/mx/apolo-en-valquirico.es.html,Apartamento espectacular!!,10,Todo,,Octubre 2025,Apartamento,Grupo,Colombia,1 noche
apolo-en-valquirico,https://www.booking.com/hotel/mx/apolo-en-valquirico.es.html,Comodidad,9.0,Si me gusto mucho muy limpio todo,,Enero 2026,Apartamento,Grupo,México,1 noche
apolo-en-valquirico,https://www.booking.com/hotel/mx/apolo-en-valquirico.es.html,Decepcionante servicio,4.0,"El departamento está practicamente nuevo, con todo lo necesario para poder pasar la noche y con bastantes televisiones o mobiliario que es bastante completo",,Octubre 2025,Apartamento,Grupo,México,1 noche
casa-irken-tlatempan,https://www.booking.com/hotel/mx/casa-irken-tlatempan.es.html,Muy bien,8.0,El personal es extraordinariamente amable y las habitaciones están limpias.,,Junio 2025,Habitación Doble con baño compartido,Solo/a,México,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,Excepcional,10,Excelencia en todos los aspectos!!!,,Diciembre 2024,Suite,Pareja,México,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,muy buena experiencia,8.0,La comida,,Octubre 2025,Suite,Pareja,México,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,"Cute Tuscan Village innthe middle of Mexico, we will return.",9.0,Very unique and comfortable room. Our host was very attentive to our requests when asked for information or assistance.,,Noviembre 2025,Suite,Pareja,Estados Unidos,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,Great Spot and customer Service,10,All,,Septiembre 2025,Suite,Solo/a,Estados Unidos,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,Excelente,10,La comodidad y los detalles de la habitación,,Agosto 2025,Suite,Pareja,México,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,Excepcional,10,Esta entrada no tiene comentarios,,Julio 2025,Suite,Solo/a,Francia,1 noche
loft-carlo-vii-la-glamorosa-torre-del-castello,https://www.booking.com/hotel/mx/loft-carlo-vii-la-glamorosa-torre-del-castello.es.html,Fantástico,9.0,Esta entrada no tiene comentarios,,Junio 2025,Suite,Solo/a,Estados Unidos,2 noches
ander-en-valquirico,https://www.booking.com/hotel/mx/ander-en-valquirico.es.html,Excepcional,10,"Todo: ubicación, instalaciones, limpieza",,Diciembre 2025,Apartamento,Grupo,México,1 noche
ander-en-valquirico,https://www.booking.com/hotel/mx/ander-en-valquirico.es.html,Fantástico,9.0,Excelente para familias. Buen equipamiento de la cocineta,,Diciembre 2025,Apartamento,Grupo,México,1 noche
ander-en-valquirico,https://www.booking.com/hotel/mx/ander-en-valquirico.es.html,Excepcional,10,"Las instalaciones son muy lindas, cómodas, el estilo barroco colonial, es lo mejor",,Octubre 2025,Apartamento,Familiar,México,1 noche
